YUV,SETTING,QP,OPT,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,BITRATE,TOTAL TIME
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,22,OPT,43.2958,45.2537,45.6836,43.8049,15733.4250,13321.019
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,27,OPT,39.8205,42.4017,42.6061,40.4494,7022.7900,9044.809
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,32,OPT,36.9505,40.1799,40.2719,37.7244,3499.3350,6144.417
ArenaOfValor_1920x1080_60fps_8bit,32framelimt_RA,37,OPT,34.2689,38.1561,38.0670,35.1603,1780.6350,3643.444
BQMall_832x480_60fps_8bit,32framelimt_RA,22,OPT,40.2294,43.8740,45.4932,41.1662,3760.0650,3881.931
BQMall_832x480_60fps_8bit,32framelimt_RA,27,OPT,37.7199,42.0908,43.1384,38.7079,1733.5800,2373.033
BQMall_832x480_60fps_8bit,32framelimt_RA,32,OPT,35.1002,40.2318,41.0862,36.1643,921.7050,1283.042
BQMall_832x480_60fps_8bit,32framelimt_RA,37,OPT,32.3011,38.4714,39.0672,33.4619,497.3550,771.635
BQSquare_416x240_60fps_8bit,32framelimt_RA,22,OPT,39.4350,44.8026,45.8827,40.5419,1365.2550,698.011
BQSquare_416x240_60fps_8bit,32framelimt_RA,27,OPT,35.9224,42.5756,43.4232,37.1661,608.1000,442.139
BQSquare_416x240_60fps_8bit,32framelimt_RA,32,OPT,32.7382,40.5253,41.1750,34.0851,311.8500,261.158
BQSquare_416x240_60fps_8bit,32framelimt_RA,37,OPT,29.9624,38.7451,39.3480,31.3832,175.2000,197.580
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,22,OPT,38.3215,42.8941,45.2012,39.2077,37195.4850,22947.064
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,27,OPT,35.6401,41.7190,44.0834,36.9068,8115.3900,7547.149
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,32,OPT,34.0128,40.4294,42.8499,35.3702,2971.5600,3683.101
BQTerrace_1920x1080_60fps_8bit,32framelimt_RA,37,OPT,32.2016,38.3497,40.6808,33.5481,1393.9350,2168.902
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,22,OPT,32.2016,38.3497,40.6808,33.5481,1393.9350,2168.902
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,22,OPT,41.7778,44.3097,45.1652,42.4390,2804.2125,4686.669
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,27,OPT,38.7632,42.0705,42.4676,39.5405,1281.6875,2835.180
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,32,OPT,35.9359,39.9816,40.2167,36.8419,637.2000,1568.852
BasketballDrill_832x480_50fps_8bit,32framelimt_RA,37,OPT,33.2955,38.1358,38.0307,34.3079,326.8250,902.140
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,22,OPT,40.1161,45.1822,46.8084,41.2657,10903.9125,21763.402
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,27,OPT,38.9211,44.0370,44.8748,40.0849,3583.9125,12372.378
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,32,OPT,37.5029,42.7981,43.0403,38.6419,1721.6375,7370.636
BasketballDrive_1920x1080_50fps_8bit,32framelimt_RA,37,OPT,35.6905,41.4424,41.0755,36.8235,891.4875,4618.910
BasketballPass_416x240_50fps_8bit,32framelimt_RA,22,OPT,42.6881,45.9483,45.5511,43.4096,683.4250,587.016
BasketballPass_416x240_50fps_8bit,32framelimt_RA,27,OPT,38.9215,43.1859,42.4798,39.7870,340.4375,409.181
BasketballPass_416x240_50fps_8bit,32framelimt_RA,32,OPT,35.6292,41.0201,39.9269,36.6455,175.2375,269.106
BasketballPass_416x240_50fps_8bit,32framelimt_RA,37,OPT,32.7418,38.9839,37.7708,33.8632,91.2250,176.082
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,22,OPT,38.7717,41.6865,43.6948,39.5394,1535.9625,1445.794
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,27,OPT,35.4439,39.1052,41.0729,36.3429,672.9375,904.165
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,32,OPT,32.5831,37.0143,38.8856,33.6117,320.6375,503.708
BlowingBubbles_416x240_50fps_8bit,32framelimt_RA,37,OPT,29.9574,35.1807,37.0242,31.1038,153.5125,294.701
